name	critic-score	audience-score	rating	genres	director_score	writer_score	actor_score	theater-date	streaming-date	box-office	runtime	studio
Monkeybone2001	19%	27%	PG-13 (for crude humor and some nudity)	"Animation,Comedy,Science Fiction & Fantasy"	92	76	"34.0,53.0,29.0,56.0"	"Feb 23, 2001Â wide"	10-Jul-01	"$4,942,155 "	92 minutes	20th Century Fox
The Congress (2014)	73%	53%	NR	"Animation,Science Fiction & Fantasy"	84.5	84.5	"69.0,57.5,55.0,64.5"	"Aug 29, 2014Â limited"	2-Dec-14	NA	122 minutes	Drafthouse Films
The King and I1999	13%	40%	G (nothing objectionable)	"Animation,Kids & Family,Musical & Performing Arts"	40	60	"64.0,13.0,57.0,13.0"	"Mar 19, 1999Â wide"	3-Jul-99	NA	90 minutes	NA
Tinker Bell and the Great Fairy Rescue2010	71%	76%	G	"Animation,Kids & Family,Science Fiction & Fantasy"	71	66	"64.0,42.0,60.0,44.0"	"Sep 21, 2010Â limited"	21-Sep-10	"$288,544 "	77 minutes	Walt Disney Pictures
Batman Gotham Knight2008	83%	69%	PG-13	"Action & Adventure,Animation"	83	62.5	"82.0,29.0,89.0,50.0"	"Jul 8, 2008Â wide"	8-Jul-08	NA	76 minutes	Warner Home Video
Waltz with Bashir2008	96%	90%	"R (for some disturbing images of atrocities, strong violence, brief nudity and a scene of graphic sexual content)"	"Animation,Art House & International,Documentary,Special Interest"	84.5	84.5	"84.5,96.0,96.0,96.0"	"May 15, 2008Â wide"	23-Jun-09	"$2,300,000 "	90 minutes	Sony Pictures Classics
The Pirates Who Don't Do Anything: A VeggieTales Movie2008	39%	61%	G	"Action & Adventure,Animation,Kids & Family"	52.5	52.5	"52.5,52.5,36.0,39.0"	"Jan 11, 2008Â wide"	14-Oct-08	"$12,701,880 "	85 minutes	Universal Pictures
Kaena: The Prophecy2004	7%	42%	PG-13 (for sensuality and some frightening images)	"Action & Adventure,Animation,Art House & International,Kids & Family,Science Fiction & Fantasy"	7	7	"62.5,63.0,64.0,41.5"	"Jul 9, 2004Â wide"	7-Sep-04	NA	85 minutes	Samuel Goldwyn Films
Robin Hood1973	54%	81%	G	"Action & Adventure,Animation,Kids & Family,Musical & Performing Arts,Romance"	83	86	"75.0,54.0,68.0,75.0"	"Nov 8, 1973Â wide"	4-Jul-00	NA	83 minutes	NA
Jonah - A VeggieTales Movie2002	66%	74%	G	"Animation,Comedy,Kids & Family,Faith & Spirituality"	52.5	52.5	"52.5,52.5,52.5,66.0"	"Oct 4, 2002Â wide"	4-Mar-03	"$25,408,198 "	82 minutes	Artisan Entertainment
Happily N'ever After2006	4%	34%	PG (for some mild action and rude humor)	"Animation,Comedy,Kids & Family,Science Fiction & Fantasy"	4	4	"35.0,14.0,44.0,63.0"	"Dec 16, 2006Â wide"	1-May-07	"$151,873,410 "	87 minutes	Lionsgate
Legend of the Guardians: The Owls of Ga'Hoole2010	51%	63%	PG	"Action & Adventure,Animation,Science Fiction & Fantasy"	51	48.5	"50.0,52.5,56.0,56.0"	"Sep 24, 2010Â wide"	17-Dec-10	"$54,400,000 "	90 minutes	Warner Bros. Pictures
Garfield: A Tail of Two Kitties2006	11%	43%	PG (for some off-color elements.)	"Animation,Comedy,Kids & Family"	27	23	"67.0,13.5,59.5,27.5"	"Jun 16, 2006Â wide"	10-Oct-06	"$28,280,486 "	78 minutes	20th Century Fox
The Sword in the Stone (1963)	71%	73%	G	"Animation,Drama,Kids & Family,Science Fiction & Fantasy"	83	89	"90.0,83.0,82.5,75.5"	"Dec 25, 1963Â limited"	20-Mar-01	NA	79 minutes	NA
Cloudy With a Chance of Meatballs2009	87%	71%	PG (for brief mild language)	"Animation,Comedy,Kids & Family"	72	72	"71.0,38.0,58.5,65.0"	"Sep 18, 2009Â wide"	5-Jan-10	"$124,870,275 "	81 minutes	Sony Pictures
