runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
117,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,68.0,68.0,65.85,3,1,0,0,1,0,2009.0,1.0
82,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,84.0,84.0,43.25,0,1,0,0,0,1,2001.0,1.0
103,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,78.0,54.0,60.75,0,1,0,1,0,0,1992.0,1.0
82,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,78.0,63.0,67.05,0,1,1,0,0,0,1996.0,1.0
99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,97.0,97.0,47.0,1,1,0,1,0,0,2015.0,0.0
103,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,75.0,42.0,38.3,1,1,0,0,1,0,2014.0,0.0
85,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,100.0,100.0,89.4,0,1,0,0,0,1,1976.0,1.0
99,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,35.0,35.0,63.35,2,1,0,0,0,1,2018.0,1.0
99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,67.0,67.0,49.95,0,1,0,0,1,0,1988.0,1.0
81,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,3.8,1,1,0,1,0,0,2004.0,1.0
47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93.0,93.0,94.4,1,1,0,0,0,1,1969.0,1.0
129,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,94.0,94.0,73.6,0,1,0,1,0,0,1961.0,0.0
96,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,51.0,51.0,19.8,2,1,0,0,1,0,2014.0,0.0
99,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,69.0,52.5,47.5,3,1,0,0,0,1,2013.0,0.0
90,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,55.0,67.0,62.0,0,1,0,0,1,0,1970.0,1.0
