name,critic_score,audience_score,Y,runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
The Congress (2014),73%,53%,1,122,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,84.5,84.5,62.75,2,1,0,1,0,0,2014,0
The King and I1999,13%,40%,0,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,40,60,47.3,0,1,1,0,0,0,1999,1
Batman Gotham Knight2008,83%,69%,1,76,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,83,62.5,67.5,2,1,0,1,0,0,2008,1
Kaena: The Prophecy2004,7%,42%,0,85,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,7,7,62.95,2,1,0,1,0,0,2004,1
Robin Hood1973,54%,81%,0,83,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,83,86,67.3,0,1,0,0,1,0,1973,1
Santa's Apprentice (L'apprenti Pere Noel) (2010),80%,41%,1,80,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,80,80,82,0,0,0,0,0,0,NA,NA
The SpongeBob Movie: Sponge Out of Water,80%,54%,1,100,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,80,74,52.85,3,1,0,0,0,1,2015,1
Rudolph the Red-Nosed Reindeer1964,93%,83%,1,53,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,80,75,70.05,0,1,0,1,0,0,1964,1
Batman: Gotham by Gaslight2018,80%,61%,1,72,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,84.5,56,54.8,0,0,0,0,0,0,NA,NA
Futurama: Bender's Big Score2007,100%,80%,1,88,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,90,88,75.45,1,1,0,0,0,1,2007,1
"It's the Great Pumpkin, Charlie Brown1966",94%,84%,1,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,93,93,85.65,0,1,0,0,0,1,1966,1
Jack and the Cuckoo-Clock Heart2014,75%,65%,1,102,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,75,79,75,2,1,0,0,1,0,2014,0
Jonathan Livingston Seagull1973,10%,62%,0,99,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,55,10,49.3,0,1,0,0,1,0,1973,1
The Dark Crystal1982,74%,81%,0,93,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,84,13.5,79.35,0,1,0,0,0,1,1982,1
Wizards1977,63%,70%,0,80,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,59.5,59.5,63,1,1,0,0,0,1,1977,0
Animal Farm (1954),60%,67%,0,73,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,60,63,69.75,0,1,0,0,0,1,1954,1
Dinosaurs: Giants of Patagonia (2007),100%,51%,1,47,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,100,63,70.25,1,1,1,0,0,0,2007,1
Justice League: Throne Of Atlantis (2014),57%,63%,0,72,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,64,57,60.75,2,0,0,0,0,0,NA,NA
