,m,r
0,https://www.rottentomatoes.com/m/the_salt_of_the_earth,82.0
1,https://www.rottentomatoes.com/m/the_bronze,67.0
2,https://www.rottentomatoes.com/m/dont_hang_up_2017,20.0
3,https://www.rottentomatoes.com/m/when_the_bough_breaks_2016,38.0
4,https://www.rottentomatoes.com/m/sand_dollars,87.0
5,https://www.rottentomatoes.com/m/paradise_lost_3_purgatory_2009,95.5
6,https://www.rottentomatoes.com/m/geralds_game,78.5
7,https://www.rottentomatoes.com/m/frank_2014,91.5
8,https://www.rottentomatoes.com/m/god_help_the_girl,68.0
9,https://www.rottentomatoes.com/m/lagerfeld_confidential,30.0
10,https://www.rottentomatoes.com/m/1036653-teachers_pet,
11,https://www.rottentomatoes.com/m/experiment_perilous,
12,https://www.rottentomatoes.com/m/incendies,
13,https://www.rottentomatoes.com/m/john_dies_at_the_end,
14,https://www.rottentomatoes.com/m/the_conspirator,
15,https://www.rottentomatoes.com/m/sergeant_rutledge,
16,https://www.rottentomatoes.com/m/the_free_world,
17,https://www.rottentomatoes.com/m/cold_in_july_2014,
18,https://www.rottentomatoes.com/m/cj7,
19,https://www.rottentomatoes.com/m/the_lesser_blessed,
20,https://www.rottentomatoes.com/m/1211532-friends_of_eddie_coyle,
21,https://www.rottentomatoes.com/m/kes,
22,https://www.rottentomatoes.com/m/10003876-man_hunt,
23,https://www.rottentomatoes.com/m/the_humanity_bureau,
24,https://www.rottentomatoes.com/m/peppermint_candy,
25,https://www.rottentomatoes.com/m/attack_of_the_lederhosen_zombies,
26,https://www.rottentomatoes.com/m/jerry-and-tom,
27,https://www.rottentomatoes.com/m/visions_of_8_the_olympics_of_motion_picture_achievement,
28,https://www.rottentomatoes.com/m/inside_llewyn_davis_2013,
29,https://www.rottentomatoes.com/m/nasty_baby,
30,https://www.rottentomatoes.com/m/1152189-kids_in_america,
31,https://www.rottentomatoes.com/m/first_comes_love_2012,
32,https://www.rottentomatoes.com/m/the_post,
33,https://www.rottentomatoes.com/m/11_11_11_2011,
34,https://www.rottentomatoes.com/m/zipper,
35,https://www.rottentomatoes.com/m/sassy_pants,
36,https://www.rottentomatoes.com/m/chronically_metropolitan,
37,https://www.rottentomatoes.com/m/we_are_your_friends_2015,
38,https://www.rottentomatoes.com/m/lilo_and_stitch_2,
39,https://www.rottentomatoes.com/m/hail_the_conquering_hero,
40,https://www.rottentomatoes.com/m/light_at_the_edge_of_the_world,
41,https://www.rottentomatoes.com/m/1139289-beauty_shop,
42,https://www.rottentomatoes.com/m/1137476-everyday_people,
43,https://www.rottentomatoes.com/m/assisted_living,
44,https://www.rottentomatoes.com/m/10011303-helen,
45,https://www.rottentomatoes.com/m/theyll_love_me_when_im_dead,
46,https://www.rottentomatoes.com/m/waiting_for_lightning_2012,
47,https://www.rottentomatoes.com/m/burden_of_dreams,
48,https://www.rottentomatoes.com/m/the_land_of_steady_habits,
49,https://www.rottentomatoes.com/m/almost_christmas_2016,
50,https://www.rottentomatoes.com/m/bai_she_chuan_shuo_2013,
51,https://www.rottentomatoes.com/m/grand_piano,
52,https://www.rottentomatoes.com/m/the_killer_inside_me,
53,https://www.rottentomatoes.com/m/journey_to_the_west_the_demons_strike_back_2017,
54,https://www.rottentomatoes.com/m/10012068-repo_men,
55,https://www.rottentomatoes.com/m/watchmen,
56,https://www.rottentomatoes.com/m/my_best_friend_2007,
57,https://www.rottentomatoes.com/m/paradise_lost_child_murders_at_robin_hood_hills,
58,https://www.rottentomatoes.com/m/life_aquatic,
59,https://www.rottentomatoes.com/m/1151946-festival,
60,https://www.rottentomatoes.com/m/bmx_bandits,
61,https://www.rottentomatoes.com/m/the_book_of_henry,
62,https://www.rottentomatoes.com/m/elf_buddys_musical_christmas,
